year,make,model,model_type,score_band,mileage_band,comparable_count,median_price_yen,mean_price_yen,min_price_yen,max_price_yen
2007,MAZDA,TITAN,LKR85AN,3-3.5,150k-200k,1,814000,814000,814000,814000
2007,MAZDA,TITAN,LNR85AN,3-3.5,200k+,1,510000,510000,510000,510000
2007,MAZDA,TITAN,LNR85AR,3-3.5,200k+,1,382000,382000,382000,382000
2007,MAZDA,TITAN,LPR81AN,3-3.5,200k+,2,1316000,1316000,1220000,1412000
2007,MAZDA,TITAN,LPR81AR,3-3.5,200k+,1,676000,676000,676000,676000
2007,MAZDA,TITAN,LPR85AR,3-3.5,90k-120k,2,455500,455500,445000,466000
2007,MAZDA,TITAN,SYE4T,3-3.5,120k-150k,2,229500,229500,162000,297000
2007,MAZDA,TITAN,SYE4T,3-3.5,150k-200k,1,207000,207000,207000,207000
2007,MAZDA,TITAN,SYE6T,3-3.5,200k+,1,218000,218000,218000,218000
2007,MAZDA,TITAN,SYF6T,3-3.5,120k-150k,1,182000,182000,182000,182000
2007,MAZDA,TITAN,SYF6T,3-3.5,150k-200k,1,332000,332000,332000,332000
2007,MITSUBISHI,CANTER,FB70B,3-3.5,150k-200k,1,561000,561000,561000,561000
2007,MITSUBISHI,CANTER,FB70B,3-3.5,200k+,2,332500,332500,271000,394000
2007,MITSUBISHI,CANTER,FB70B,3-3.5,90k-120k,3,550000,478000,332000,552000
2007,MITSUBISHI,CANTER,FB70BB,3-3.5,90k-120k,1,356000,356000,356000,356000
2007,MITSUBISHI,CANTER,FB70BB,R,200k+,2,381500,381500,282000,481000
2007,MITSUBISHI,CANTER,FD70BB,R,200k+,1,541000,541000,541000,541000
2007,MITSUBISHI,CANTER,FE70B,3-3.5,150k-200k,1,469000,469000,469000,469000
2007,MITSUBISHI,CANTER,FE70B,3-3.5,200k+,4,436500,432500,208000,649000
2007,MITSUBISHI,CANTER,FE70D,3-3.5,200k+,3,642000,575333,420000,664000
2007,MITSUBISHI,CANTER,FE71BBD,3-3.5,200k+,1,940000,940000,940000,940000
2007,MITSUBISHI,CANTER,FE71BBD,R,150k-200k,1,755000,755000,755000,755000
2007,MITSUBISHI,CANTER,FE71BD,3-3.5,200k+,2,878000,878000,863000,893000
2007,MITSUBISHI,CANTER,FE71DBD,3-3.5,120k-150k,1,1243000,1243000,1243000,1243000
2007,MITSUBISHI,CANTER,FE71DBD,3-3.5,60k-90k,1,1393000,1393000,1393000,1393000
